Name,min_bolus,max_bolus,inc_bolus,min_basal,max_basal,inc_basal,sample_time
Cozmo,0.0,75.0,0.05,0.0,35.0,0.05,1.0
Insulet,0.0,30.0,0.05,0.0,30.0,0.05,1.0
